user_id,signup_time,name,email,email_domain,ip_address,device_id,device_os,payment_token,area,payment_country,is_repeat_user,ring_id
u_3172,2026-01-01 00:07:04,hiroshi wilson,hiroshi.wilson19@hotmail.com,hotmail.com,75.217.251.213,93631b4d530d087b,ios,pm_f863e41355ec,ahmedabad,IN,0,-1
u_8611,2026-01-01 00:09:51,Akash Verma,akash.verma+trial0@yopmail.com,yopmail.com,88.189.145.117,50b58c3a54681fc3,android,pm_9d3f935e045d,mumbai,IN,1,530
u_8612,2026-01-01 01:12:51,akash v.,akash.v.+trial1@mailinator.com,mailinator.com,88.189.145.12,460f1adf042934c1,android,pm_9d3f935e045d,delhi,IN,1,530
u_8614,2026-01-01 01:48:51,akash.verma,akash.verma404+trial3@guerrillamail.com,guerrillamail.com,88.189.145.12,460f1adf042934c1,android,pm_9d3f935e045d,delhi,IN,1,530
u_8613,2026-01-01 01:49:51,akash v.,akash.v.@yopmail.com,yopmail.com,88.189.145.12,d0a0809bb72f60ab,android,pm_9d3f935e045d,delhi,IN,1,530
u_8616,2026-01-01 02:24:51,akash.verma,akash.verma@guerrillamail.com,guerrillamail.com,88.189.145.219,55e2298ff269c23c,android,pm_bed44469108a,delhi,IN,1,530
u_8039,2026-01-01 02:35:45,AKASH WILSON,akash.wilson@outlook.com,outlook.com,113.246.153.148,68f0cec677b6c8c2,windows,pm_37c166ebe34d,singapore,SG,1,377
u_8040,2026-01-01 03:10:45,akash wilson7,akash.wilson7@company.com,company.com,113.246.153.136,68f0cec677b6c8c2,linux,pm_37c166ebe34d,singapore,SG,1,377
u_9232,2026-01-01 03:20:56,li g.,li.g.@yopmail.com,yopmail.com,224.187.78.127,b640f4e2360dcf4d,ios,pm_c75c67f9245f,kolkata,IN,1,693
u_3938,2026-01-01 04:13:26,olivia ali,olivia.ali@proton.me,proton.me,169.152.178.232,444f2630ae67b70d,android,pm_8731267f0398,dubai,AE,0,-1
u_8042,2026-01-01 04:32:45,Akash Wilson,akash.wilson@hotmail.com,hotmail.com,113.246.153.136,68f0cec677b6c8c2,windows,pm_37c166ebe34d,singapore,SG,1,377
u_8041,2026-01-01 04:33:45,Akash Wilson,akash.wilson851+trial2@outlook.com,outlook.com,113.246.153.57,2c8eb2a4156da3af,windows,pm_bbe56cc4bb61,singapore,SG,1,377
u_9233,2026-01-01 04:39:56,LI GUPTA,li.gupta+trial1@gmail.com,gmail.com,224.187.78.118,3f38c75f6bc22370,ios,pm_fe3e462d5d24,chennai,IN,1,693
u_2412,2026-01-01 04:53:46,sanjay davis,sanjay.davis@hotmail.com,hotmail.com,72.119.18.185,37a1e16902d5d74b,windows,pm_4f130e255ba0,toronto,CA,0,-1
u_3148,2026-01-01 05:05:42,william zhang,william.zhang776@proton.me,proton.me,177.53.112.219,a68a5f472b1034a3,windows,pm_e4e47ecfa548,toronto,CA,0,-1
u_8615,2026-01-01 05:29:51,Akash Verma,akash.verma+trial4@tempmail.com,tempmail.com,88.189.145.163,460f1adf042934c1,android,pm_9d3f935e045d,delhi,IN,1,530
u_9234,2026-01-01 06:10:56,li gupta53,li.gupta53@company.com,company.com,224.187.78.6,b640f4e2360dcf4d,ios,pm_c75c67f9245f,chennai,IN,1,693
u_210,2026-01-01 06:38:39,neha wong,neha.wong@company.com,company.com,17.180.213.20,f6fdb7bb0fa6bcea,android,pm_c40cefb9fc9f,chennai,IN,0,-1
u_66,2026-01-01 07:08:03,olivia chopra,olivia.chopra@outlook.com,outlook.com,42.1.29.130,7b2830c19679266e,windows,pm_b1c50aa4f4b7,bangalore,IN,0,-1
u_487,2026-01-01 08:07:02,akash gupta,akash.gupta@outlook.com,outlook.com,188.121.69.62,fecbe19ed2eb0185,windows,pm_d97e2be92595,toronto,CA,0,-1
u_4774,2026-01-01 08:50:07,robert singh,robert.singh@yahoo.com,yahoo.com,238.53.232.195,ba32ba8a541d908b,linux,pm_ba31bb5aefcc,toronto,CA,0,-1
u_2243,2026-01-01 09:52:44,hassan davis,hassan.davis344@yahoo.com,yahoo.com,166.76.93.127,d4a23be8b0974894,android,pm_296dd7fa76d3,toronto,CA,0,-1
u_1573,2026-01-01 11:04:43,omar jones,omar.jones684@company.com,company.com,206.24.224.136,ae29426d4f650d0d,ios,pm_2cc67446a4cd,san_francisco,US,0,-1
u_3280,2026-01-01 11:47:52,yuki joshi,yuki.joshi39@yahoo.com,yahoo.com,37.147.245.213,c6d0caf4191afa58,ios,pm_9d9065528e91,dubai,AE,0,-1
u_914,2026-01-01 11:53:36,aarav moore,aarav.moore@outlook.com,outlook.com,71.143.10.177,9282632fff63449d,android,pm_f6be72913cce,singapore,SG,0,-1
u_5707,2026-01-01 12:32:06,ananya chopra,ananya.chopra@yahoo.com,yahoo.com,79.138.71.96,66c5747b9bbcb7d6,windows,pm_1adfe03df479,ahmedabad,IN,0,-1
u_8056,2026-01-01 12:36:22,priya davis41,priya.davis41+trial0@hotmail.com,hotmail.com,141.44.200.227,d58f9fdc24a6e5ff,macos,pm_0886eee6bb4c,pune,IN,1,383
u_8057,2026-01-01 12:55:22,priya.davis,priya.davis586@yopmail.com,yopmail.com,141.44.200.206,b9f78ae8bf0a8a92,macos,pm_de448dca9bdb,pune,IN,1,383
u_2111,2026-01-01 12:55:42,amit kumar,amit.kumar@hotmail.com,hotmail.com,186.18.123.45,962b7430f8f05e84,android,pm_7b0a17f2f27e,singapore,US,0,-1
u_1721,2026-01-01 13:13:54,olivia gupta,olivia.gupta@proton.me,proton.me,132.244.183.193,a71edad80d44c526,ios,pm_49f90b310e89,bangalore,IN,0,-1
u_2295,2026-01-01 13:22:08,chen liu,chen.liu388@yahoo.com,yahoo.com,59.111.141.70,07f710d87bc5f7d6,macos,pm_b9670e779c90,delhi,IN,0,-1
u_8060,2026-01-01 14:12:22,priya d.,priya.d.932+trial4@outlook.com,outlook.com,141.44.200.20,3d4533e0405f992a,macos,pm_de448dca9bdb,london,IN,1,383
u_3455,2026-01-01 14:18:59,kumar park,kumar.park@company.com,company.com,100.227.163.118,3ec305e9fa4a4b44,android,pm_de1a623c9b5a,mumbai,IN,0,-1
u_3088,2026-01-01 14:41:05,singh ahmed,singh.ahmed@proton.me,proton.me,110.141.148.168,6da89df497405db5,android,pm_01eb7f3c39c5,singapore,SG,0,-1
u_8058,2026-01-01 14:54:22,priya d.,priya.d.35@company.com,company.com,141.44.200.237,da39a0a949b153e5,macos,pm_9e233d931b47,pune,IN,1,383
u_8059,2026-01-01 15:18:22,priya davis58,priya.davis58+trial3@proton.me,proton.me,141.44.200.20,3d4533e0405f992a,macos,pm_de448dca9bdb,pune,IN,1,383
u_5411,2026-01-01 15:19:49,patel zhang,patel.zhang@proton.me,proton.me,185.130.39.93,42c1fa13bdcfa039,windows,pm_e17e0a1a873d,dubai,AE,0,-1
u_2140,2026-01-01 15:28:02,emma jones,emma.jones520@gmail.com,gmail.com,79.120.208.110,ee19461e186cd5e6,android,pm_34c58891c6d9,london,GB,0,-1
u_6216,2026-01-01 15:32:17,ravi smith,ravi.smith@yahoo.com,yahoo.com,238.180.42.187,9acd3a2b5cb44361,windows,pm_856cef7b0f65,pune,GB,0,-1
u_1537,2026-01-01 15:39:57,sanjay yang,sanjay.yang@outlook.com,outlook.com,130.2.234.117,03e4a1fa4de086cb,macos,pm_29fc1abcb8b9,pune,IN,0,-1
u_6241,2026-01-01 16:46:34,michael zhang,michael.zhang@gmail.com,gmail.com,20.67.167.234,74367af366ca5002,macos,pm_e5b0b2ff10e1,mumbai,IN,0,-1
u_4992,2026-01-01 17:18:12,yuki das,yuki.das@yahoo.com,yahoo.com,24.33.82.119,a23c8b01f3e2dbda,ios,pm_18a20810dfd4,chennai,SG,0,-1
u_4620,2026-01-01 17:37:08,vikram hussain,vikram.hussain@proton.me,proton.me,205.166.210.50,1a855cb65ca36f34,macos,pm_bd110d247829,chennai,IN,0,-1
u_5227,2026-01-01 17:45:18,olivia hussain,olivia.hussain@yahoo.com,yahoo.com,145.161.86.242,279e0d963e176778,linux,pm_fd473948390c,dubai,AE,0,-1
u_4564,2026-01-01 20:51:29,aisha chen,aisha.chen@yahoo.com,yahoo.com,60.195.115.55,fd08a097bfe03397,ios,pm_450db35c5116,pune,IN,0,-1
